Feature,Score
Procedural Generation,6.277746133979567
2D Platformer,6.036382339760131
Strategy,6.0338749110820284
Violent,6.030318537014035
Survival Horror,6.013537618312808
Warhammer 40K,5.879118132946508
Mouse only,5.876856528701492
Gore,5.8215816489605565
LGBTQ+,5.811703460268408
Singleplayer,5.751539110112844
Robots,5.697609048270072
Hentai,5.548658673310253
Kickstarter,5.47234042553192
Solitaire,5.446743104021274
Diplomacy,5.440677966101699
Sniper,5.440677966101699
Episodic,5.440677966101699
Cycling,5.440677966101699
Perma Death,5.416807699026581
Souls-like,5.182231631741866
Precision Platformer,5.168243637880688
Physics,5.152127256510216
Hand-drawn,5.143266624806309
Colorful,5.134877900933298
Nudity,5.099409125561792
1990's,5.005125201901897
Action RPG,4.913810932626976
Gun Customization,4.89551304627617
Futuristic,4.690131771569523
Crime,4.63680548559004
Skateboarding,4.629044721336815
Choose Your Own Adventure,4.609122733117773
Resource Management,4.518619359619492
Third-Person Shooter,4.5114446971460715
Flight,4.393240031155534
Interactive Fiction,4.355326516533436
3D Platformer,4.32311998985401
Beautiful,4.312504272053818
Swordplay,4.246907996841107
Blood,4.2339624995328125
Music-Based Procedural Generation,4.201471393154967
Arena Shooter,4.197021774293283
God Game,4.195711977542553
Time Attack,4.180269809073058
Arcade,4.159818553275512
Trivia,4.06129336547532
Hacking,4.024260551678302
Dark Comedy,4.024260551678302
Motorbike,4.012220941201136
Classic,4.006943864629433
Real-Time,3.9786750858535536
Cozy,3.84052973978181
Logic,3.840134495255343
Family Friendly,3.835783133712032
Collectathon,3.7238265991077557
2.5D,3.6675163535700444
Sports,3.661968341560237
Dungeon Crawler,3.6190581402860986
Racing,3.5836045021487997
Unforgiving,3.423268001257733
Programming,3.395092500276949
Grand Strategy,3.395092500276949
Turn-Based Tactics,3.3743399233177764
Vehicular Combat,3.325123152709363
Submarine,3.325123152709363
Battle Royale,3.325123152709363
Abstract,3.308868842586592
3D Vision,3.304015301234714
Underground,3.3039215686274543
Epic,3.3039215686274543
Combat Racing,3.3039215686274543
Asymmetric VR,3.3039215686274543
Sokoban,3.3039215686274543
Metroidvania,3.285467694553442
Inventory Management,3.2629732055972003
Farming Sim,3.2278351623674233
Silent Protagonist,3.2216732780382284
Time Manipulation,3.2216732780382284
Short,3.2216732780382284
Conspiracy,3.2216732780382284
Space Sim,3.207664830422267
Asynchronous Multiplayer,3.205842048323118
Hunting,3.203105687043961
Drama,2.820214143714482
Turn-Based Combat,2.7697251183945997
Shop Keeper,2.73617021276596
Hardware,2.73617021276596
Video Production,2.73617021276596
Villain Protagonist,2.73617021276596
Transhumanism,2.73617021276596
Sailing,2.73617021276596
Instrumental Music,2.73617021276596
Hero Shooter,2.73617021276596
Mod,2.73617021276596
Crowdfunded,2.73617021276596
Foreign,2.73617021276596
Boxing,2.7203389830508495
Vikings,2.7203389830508495
Grid-Based Movement,2.7203389830508495
Satire,2.7203389830508495
Philosophical,2.7203389830508495
Otome,2.7203389830508495
Traditional Roguelike,2.7203389830508495
Mystery Dungeon,2.7203389830508495
Ninja,2.7203389830508495
Music,2.714175676114983
Alternate History,2.6554790705966185
Text-Based,2.5405336296076326
Nature,2.493028967180841
Beat 'em up,2.3192449099962826
Immersive,2.3192449099962826
Medical Sim,2.3145223606684073
GameMaker,2.3145223606684073
Comic Book,2.2970980556566003
Rhythm,2.2329224695917738
RPG,2.22739931419106
Cartoony,2.223424313160198
Psychedelic,2.1680488675816543
World War I,2.03064668273766
Mars,2.03064668273766
Naval Combat,2.03064668273766
Remake,2.022731067880105
Dungeons & Dragons,2.020045890696706
LEGO,2.020045890696706
Spaceships,2.020045890696706
RPGMaker,2.012130275839151
Parody,2.012130275839151
Jump Scare,2.012130275839151
Typing,2.012130275839151
Addictive,2.012130275839151
Gothic,1.8302319871953172
Multiple Endings,1.8096746466125937
Political,1.7356623244196778
Archery,1.7282545979084036
Tower Defense,1.671786338918473
Competitive,1.6413776302600667
Co-op Campaign,1.524029550259411
Mining,1.4444911294535114
JRPG,1.392926502006307
Top-Down Shooter,1.3828520830966917
Puzzle Platformer,1.257718005689661
Jet,1.1217383113675905
Lore-Rich,1.0791616011923546
Action,1.0249475906572816
Education,0.7938532900175678
Word Game,0.7933994886602955
1980s,0.7038934300645638
Strategy RPG,0.4217659862067948
Martial Arts,0.3381208872123407
Looter Shooter,0.30968522495767653
Dark Humor,0.12476508020024249
Mechs,0.021388479288403917
